item,itemLabel,startDate,endDate,sourceDate,psid
Q549456,Joe Borg,1999-03-24,2004-03-23,,Q549456-51161176-4272-054b-44a1-b5dc9d5e2c57
Q518375,John Dalli,2004-03-23,2004-07-03,,Q518375-17802167-48ab-3aae-f0ee-aa68eaf8f571
Q1275788,Michael Frendo,2004-07-03,2008-03-12,,Q1275788-12e20aef-4f5b-a85f-03e9-c9b1a54710cb
Q58176,Tonio Borg,2008-03-12,2012-11-28,,Q58176-8DAC013E-7C70-4127-BE2B-63CAE02D0F5B
Q16545829,Francis Zammit Dimech,2012-11-28,2013-03-13,2021-09-02,Q16545829-E554EE05-5889-4E14-B253-35E83716E00E
Q1508402,George William Vella,2013-03-13,2017-06-07,2021-09-02,Q1508402-EDA6D196-6B3E-4076-8E56-DB184275AD96
Q5043368,Carmelo Abela,2017-06-09,2020-01-15,,Q5043368-BC5E9B76-13F0-4E11-9D77-0F0D42E0D11C
Q5416069,Evarist Bartolo,2020-01-15,2022-03-26,,Q5416069-72B9098D-C754-4F75-8E44-74D79D4E748A
Q38220741,Ian Borg,2022-03-30,,,Q38220741-B9F2B56A-A7C3-4BA6-88A2-318A7349792B
